iteration,m_power,recursion
1,[[1 1 0 0]],[[1 1 0 0]]
2,[[1 1 1 0]],[[1 1 1 0]]
3,[[1 1 1 1]],[[1 1 1 1]]
4,[[0 1 1 1]],[[0 1 1 1]]
5,[[1 0 1 1]],[[1 0 1 1]]
6,[[0 1 0 1]],[[0 1 0 1]]
7,[[1 0 1 0]],[[1 0 1 0]]
8,[[1 1 0 1]],[[1 1 0 1]]
9,[[0 1 1 0]],[[0 1 1 0]]
10,[[0 0 1 1]],[[0 0 1 1]]
11,[[1 0 0 1]],[[1 0 0 1]]
12,[[0 1 0 0]],[[0 1 0 0]]
13,[[0 0 1 0]],[[0 0 1 0]]
14,[[0 0 0 1]],[[0 0 0 1]]
15,[[1 0 0 0]],[[1 0 0 0]]
16,[[1 1 0 0]],[[1 1 0 0]]
17,[[1 1 1 0]],[[1 1 1 0]]
18,[[1 1 1 1]],[[1 1 1 1]]
19,[[0 1 1 1]],[[0 1 1 1]]
20,[[1 0 1 1]],[[1 0 1 1]]
21,[[0 1 0 1]],[[0 1 0 1]]
22,[[1 0 1 0]],[[1 0 1 0]]
23,[[1 1 0 1]],[[1 1 0 1]]
24,[[0 1 1 0]],[[0 1 1 0]]
25,[[0 0 1 1]],[[0 0 1 1]]
26,[[1 0 0 1]],[[1 0 0 1]]
27,[[0 1 0 0]],[[0 1 0 0]]
28,[[0 0 1 0]],[[0 0 1 0]]
29,[[0 0 0 1]],[[0 0 0 1]]
30,[[1 0 0 0]],[[1 0 0 0]]
31,[[1 1 0 0]],[[1 1 0 0]]
32,[[1 1 1 0]],[[1 1 1 0]]
33,[[1 1 1 1]],[[1 1 1 1]]
34,[[0 1 1 1]],[[0 1 1 1]]
35,[[1 0 1 1]],[[1 0 1 1]]
36,[[0 1 0 1]],[[0 1 0 1]]
37,[[1 0 1 0]],[[1 0 1 0]]
38,[[1 1 0 1]],[[1 1 0 1]]
39,[[0 1 1 0]],[[0 1 1 0]]
40,[[0 0 1 1]],[[0 0 1 1]]
41,[[1 0 0 1]],[[1 0 0 1]]
42,[[0 1 0 0]],[[0 1 0 0]]
43,[[0 0 1 0]],[[0 0 1 0]]
44,[[0 0 0 1]],[[0 0 0 1]]
45,[[1 0 0 0]],[[1 0 0 0]]
46,[[1 1 0 0]],[[1 1 0 0]]
47,[[1 1 1 0]],[[1 1 1 0]]
48,[[1 1 1 1]],[[1 1 1 1]]
49,[[0 1 1 1]],[[0 1 1 1]]
50,[[1 0 1 1]],[[1 0 1 1]]
51,[[0 1 0 1]],[[0 1 0 1]]
52,[[1 0 1 0]],[[1 0 1 0]]
53,[[1 1 0 1]],[[1 1 0 1]]
54,[[0 1 1 0]],[[0 1 1 0]]
55,[[0 0 1 1]],[[0 0 1 1]]
56,[[1 0 0 1]],[[1 0 0 1]]
57,[[0 1 0 0]],[[0 1 0 0]]
58,[[0 0 1 0]],[[0 0 1 0]]
59,[[0 0 0 1]],[[0 0 0 1]]
60,[[1 0 0 0]],[[1 0 0 0]]
61,[[1 1 0 0]],[[1 1 0 0]]
62,[[1 1 1 0]],[[1 1 1 0]]
63,[[1 1 1 1]],[[1 1 1 1]]
64,[[0 1 1 1]],[[0 1 1 1]]
65,[[1 0 1 1]],[[1 0 1 1]]
66,[[0 1 0 1]],[[0 1 0 1]]
67,[[1 0 1 0]],[[1 0 1 0]]
